"developer","total_installs"
"Sololearn",10000000.0
"The Teaching Company",500000.0
"Memrise",10000000.0
"BacBon Ltd.",10000.0
"Chegg, Inc.",1000000.0
"MasterClass Inc.",1000000.0
"Edmodo, Inc",10000000.0
"M. Ekram",500.0
"upGrad",1000000.0
"Course Hero",500000.0
"InnovApp21",1000000.0
"Complexly LLC",100000.0
"MedTech Cursos livres e ensino online LTDA",1000000.0
"Crazy Ideas",5000.0
"RedTECH",1000.0
"TeamLease EdTech Ltd.",60000.0
"Noon Academy",10000000.0
"ClassRoom",100000.0
"Cuemath",1000000.0
"Teachmint Technologies",10000000.0
"Orenda Educational Studios",1000000.0
"Shaw Academy - Interactive Online Courses",1000000.0
"Network24",100000.0
"learning applications",500000.0
"Lectera",5000.0
"ReSkills EdTech",100000.0
"Real Time Solution",10000.0
"MobileEnglish",100000.0
"uLesson Education",1000000.0
"LearnVern",500000.0
"SparkIT Techno Solutions Pvt Ltd",10000.0
"Cerego Inc.",50000.0
"Alexander Tarigan",100000.0
"EdTech Worx",5000.0
"WsCube Tech",100000.0
"Susanapp",50000.0
"PRAADIS TECHNOLOGIES INC",100000.0
"EduRev: Learning, Mock Test & Exam Preparation App",1800000.0
"Grupo Santillana Educación Global, S.L.",10000.0
"skappstudio",50000.0
"Thrive EdTech",5000.0
"Skillshare, Inc",1000000.0
"Edukoya",100000.0
"Unacademy",50000000.0
"Prottoy Edtech",5000.0
"MoMagic Bangladesh Limited",10000.0
"Converge Edutech Private Limited",50000.0
"Suman Mondal",10000.0
"LinkedIn",5000000.0
"Epic! Creations Inc",5000000.0
"Salem Media Group",10000.0
"Learn Language - Super Chinese",1000000.0
"Duolingo",100000000.0
"Pluralsight",1000000.0
"Quizlet Inc.",10000000.0
"Doubtnut: Doubt Solving & Video Solutions App",50000000.0
"Great Learning",1000000.0
"Moftah Publishing",5.0
"Emerging Study",50000.0
"Bluelogic solution",500.0
"Homer Learning",1000000.0
"DELLHOAK",500.0
"ITWorx Education",5000.0
"Dotlines",10000.0
"Saylor Academy",50000.0
"Devo tech",1000.0
"Knowledge Platform",10000.0
"10 Minute School",1000000.0
"Cambly",10000000.0
"BYJU'S",101000000.0
"Robert and John Limited",50000.0
"Smaterr",50000.0
"ROOTs IT",50000.0
"Udemy",10000000.0
"JobboJ APP - job tools",100000.0
