"developer","avg_rating","total_reviews"
"Sololearn",554749.000000000000,19226.0
"The Teaching Company",3395.0000000000000000,1107.0
"Memrise",1452079.000000000000,65279.0
"BacBon Ltd.",425.0000000000000000,3.0
"Chegg, Inc.",32033.000000000000,7081.0
"MasterClass Inc.",18982.0000000000000000,3707.0
"Edmodo, Inc",459326.000000000000,15292.0
"M. Ekram",NULL,0.0
"upGrad",20206.000000000000,16.0
"Course Hero",11192.0000000000000000,2536.0
"InnovApp21",5631.0000000000000000,24.0
"Complexly LLC",2384.0000000000000000,198.0
"MedTech Cursos livres e ensino online LTDA",42862.000000000000,258.0
"Crazy Ideas",262.0000000000000000,6.0
"RedTECH",NULL,0.0
"TeamLease EdTech Ltd.",1256.0000000000000000,2.0
"Noon Academy",103191.000000000000,459.0
"ClassRoom",3007.0000000000000000,4.0
"Cuemath",35681.000000000000,316.0
"Teachmint Technologies",134739.000000000000,25.0
"Orenda Educational Studios",7084.0000000000000000,15.0
"Shaw Academy - Interactive Online Courses",53044.000000000000,3183.0
"Network24",NULL,0.0
"learning applications",6937.0000000000000000,85.0
"Lectera",NULL,0.0
"ReSkills EdTech",NULL,0.0
"Real Time Solution",116.0000000000000000,3.0
"MobileEnglish",695.0000000000000000,58.0
"uLesson Education",12023.0000000000000000,63.0
"LearnVern",18618.0000000000000000,18.0
"SparkIT Techno Solutions Pvt Ltd",NULL,0.0
"Cerego Inc.",479.0000000000000000,80.0
"Alexander Tarigan",NULL,0.0
"EdTech Worx",NULL,0.0
"WsCube Tech",2477.0000000000000000,25.0
"Susanapp",NULL,0.0
"PRAADIS TECHNOLOGIES INC",4692.0000000000000000,6.0
"EduRev: Learning, Mock Test & Exam Preparation App",29657.500000000000,31.0
"Grupo Santillana Educación Global, S.L.",NULL,0.0
"skappstudio",191.0000000000000000,3.0
"Thrive EdTech",234.0000000000000000,8.0
"Skillshare, Inc",51403.000000000000,4298.0
"Edukoya",518.0000000000000000,5.0
"Unacademy",951700.000000000000,452.0
"Prottoy Edtech",NULL,0.0
"MoMagic Bangladesh Limited",NULL,0.0
"Converge Edutech Private Limited",1944.0000000000000000,9.0
"Suman Mondal",694.0000000000000000,13.0
"LinkedIn",76453.000000000000,1685.0
"Epic! Creations Inc",82461.000000000000,24061.0
"Salem Media Group",71.0000000000000000,17.0
"Learn Language - Super Chinese",23345.000000000000,326.0
"Duolingo",12512116.000000000000,592133.0
"Pluralsight",17874.0000000000000000,1918.0
"Quizlet Inc.",466157.000000000000,49990.0
"Doubtnut: Doubt Solving & Video Solutions App",574552.000000000000,307.0
"Great Learning",18492.0000000000000000,51.0
"Moftah Publishing",NULL,0.0
"Emerging Study",790.0000000000000000,6.0
"Bluelogic solution",NULL,0.0
"Homer Learning",4571.0000000000000000,1383.0
"DELLHOAK",NULL,0.0
"ITWorx Education",NULL,0.0
"Dotlines",456.0000000000000000,7.0
"Saylor Academy",232.0000000000000000,8.0
"Devo tech",NULL,0.0
"Knowledge Platform",NULL,0.0
"10 Minute School",54691.000000000000,339.0
"Cambly",126401.000000000000,1352.0
"BYJU'S",876715.500000000000,952.0
"Robert and John Limited",258.0000000000000000,7.0
"Smaterr",1640.0000000000000000,18.0
"ROOTs IT",2047.0000000000000000,23.0
"Udemy",357547.000000000000,13123.0
"JobboJ APP - job tools",318.0000000000000000,11.0
