"developer","avg_score","total_installs"
"Sololearn",4.5160303000000000,10000000.0
"The Teaching Company",3.5414848000000000,500000.0
"Memrise",4.5800800000000000,10000000.0
"BacBon Ltd.",4.6000000000000000,10000.0
"Chegg, Inc.",3.8073000000000000,1000000.0
"MasterClass Inc.",4.4450490000000000,1000000.0
"Edmodo, Inc",3.9538593000000000,10000000.0
"M. Ekram",0E-20,500.0
"upGrad",4.3500000000000000,1000000.0
"Course Hero",4.4829125000000000,500000.0
"InnovApp21",4.2250000000000000,1000000.0
"Complexly LLC",4.6039605000000000,100000.0
"MedTech Cursos livres e ensino online LTDA",4.6500000000000000,1000000.0
"Crazy Ideas",4.7142860000000000,5000.0
"RedTECH",0E-20,1000.0
"TeamLease EdTech Ltd.",1.16666665000000000000,60000.0
"Noon Academy",4.2523365000000000,10000000.0
"ClassRoom",4.6000000000000000,100000.0
"Cuemath",4.1034484000000000,1000000.0
"Teachmint Technologies",3.9672132000000000,10000000.0
"Orenda Educational Studios",4.2666670000000000,1000000.0
"Shaw Academy - Interactive Online Courses",3.7214700000000000,1000000.0
"Network24",0E-20,100000.0
"learning applications",4.5800000000000000,500000.0
"Lectera",0E-20,5000.0
"ReSkills EdTech",0E-20,100000.0
"Real Time Solution",5.0000000000000000,10000.0
"MobileEnglish",4.5841584000000000,100000.0
"uLesson Education",4.3400000000000000,1000000.0
"LearnVern",4.4642860000000000,500000.0
"SparkIT Techno Solutions Pvt Ltd",0E-20,10000.0
"Cerego Inc.",4.2300000000000000,50000.0
"Alexander Tarigan",0E-20,100000.0
"EdTech Worx",0E-20,5000.0
"WsCube Tech",4.1632650000000000,100000.0
"Susanapp",0E-20,50000.0
"PRAADIS TECHNOLOGIES INC",5.0000000000000000,100000.0
"EduRev: Learning, Mock Test & Exam Preparation App",1.9000000000000000,1800000.0
"Grupo Santillana Educación Global, S.L.",0E-20,10000.0
"skappstudio",4.4000000000000000,50000.0
"Thrive EdTech",4.7142860000000000,5000.0
"Skillshare, Inc",4.3229437000000000,1000000.0
"Edukoya",4.4285710000000000,100000.0
"Unacademy",3.3584905000000000,50000000.0
"Prottoy Edtech",0E-20,5000.0
"MoMagic Bangladesh Limited",0E-20,10000.0
"Converge Edutech Private Limited",4.3076925000000000,50000.0
"Suman Mondal",4.2500000000000000,10000.0
"LinkedIn",4.7703490000000000,5000000.0
"Epic! Creations Inc",4.3926272000000000,5000000.0
"Salem Media Group",3.7741935000000000,10000.0
"Learn Language - Super Chinese",4.7400000000000000,1000000.0
"Duolingo",4.5738000000000000,100000000.0
"Pluralsight",4.5247310000000000,1000000.0
"Quizlet Inc.",4.6732880000000000,10000000.0
"Doubtnut: Doubt Solving & Video Solutions App",4.2200000000000000,50000000.0
"Great Learning",4.1600000000000000,1000000.0
"Moftah Publishing",0E-20,5.0
"Emerging Study",5.0000000000000000,50000.0
"Bluelogic solution",0E-20,500.0
"Homer Learning",4.0805087000000000,1000000.0
"DELLHOAK",0E-20,500.0
"ITWorx Education",0E-20,5000.0
"Dotlines",4.2500000000000000,10000.0
"Saylor Academy",4.5000000000000000,50000.0
"Devo tech",0E-20,1000.0
"Knowledge Platform",0E-20,10000.0
"10 Minute School",4.0800000000000000,1000000.0
"Cambly",4.1715210000000000,10000000.0
"BYJU'S",3.7918020500000000,101000000.0
"Robert and John Limited",4.1111110000000000,50000.0
"Smaterr",3.3636363000000000,50000.0
"ROOTs IT",4.1162790000000000,50000.0
"Udemy",4.3537160000000000,10000000.0
"JobboJ APP - job tools",3.8214285000000000,100000.0
